news_headline,news_article,news_category
"First-ever Power Surge taken in BBL, video of umpire's signal shared","During the first match of BBL 2020-21, Hobart Hurricanes took the first-ever Power Surge after the 14th over. BBL took to Twitter to share a video of the umpire signalling Power Surge, writing, ""When the umpire is doing backstroke, strap yourself in for some hitting."" Power Surge is a two-over batting powerplay, which can be taken after the 10th over.",sports
"China, Pak behind farmers' protests: Union Minister Raosaheb Danve","Union Minister of State for Food and Public Distribution Raosaheb Patil Danve on Wednesday claimed that the ongoing farmers' agitation against the Centre's farm laws had the backing of China and Pakistan. He said, ""The farmers' agitation that is taking place in Delhi is not that of farmers."" He added that earlier Muslims were misled over CAA and NRC.",politics
It won't be easy for Pucovski against India: Shane Warne on Test series,"Ex-Australia spinner Shane Warne has said that Will Pucovski, who's likely to make his Test debut against India, will face some of the ""best bowlers"" in the Test series and it won't be easy for him. Pucovski scored consecutive double hundreds in Sheffield Shield this season and broke the record for the highest partnership in tournament's history with Marcus Harris. ",sports
"TMC MLA Banasri Maity resigns from party, 4th leader to quit in 48 hours","Trinamool Congress MLA Banasri Maity from West Bengal's Kanthi Uttar on Friday tendered her resignation from the ""primary membership and from each and every post"" of the party. Maity is the fourth leader to resign from TMC in the past 48 hours after Suvendu Adhikari, Jitendra Tiwari and Silbhadra Datta. Notably, Tiwari on Friday took his resignation back.",politics
"2020 was faster than usual, broke record for shortest day 28 times: Scientists","The 28 fastest days on record all occurred in 2020, with Earth completing its rotations around its axis milliseconds quicker than average, scientists said. The shortest day was July 19, when Earth completed one spin 1.4602 milliseconds faster than 86,400 seconds. Before 2020, the shortest day was noted on July 5, 2005, when the Earth's rotation was 1.0516 milliseconds faster.",science
No attempt to murder by protesters who dumped cow dung: Punjab CM,"Punjab CM Captain Amarinder Singh has ordered the withdrawal of an attempt to murder case against protesters who dumped cow dung outside a BJP leader's house. He also ordered the transfer of the SHO who registered the case, saying he had gone overboard. Protesters had unloaded a trolley carrying cow dung in front of former Punjab Minister Tikshan Sud's house.",politics
Japan must compensate ex-Nissan Chairman for arbitrary arrest: UN panel,"The UN Working Group on Arbitrary Detention on Monday ruled that Former Nissan Chairman Carlos Ghosn's multiple arrests and detentions in Japan were ""arbitrary"" and urged Japanese government to pay compensation. Japan said the panel doesn't have an ""accurate understanding of the country's criminal justice system"". Ghosn, who was arrested in 2018 in Japan, fled to Lebanon last year. ",automobile
Despite series loss I couldn’t be any happier for Natarajan: Warner,"Australia's David Warner said 'he couldn't be any happier' for his Sunrisers Hyderabad teammate T Natarajan even though Australia lost the T20I series against India. ""From being on the tour as a net bowler to debuting ODI/T20I for India what an achievement buddy well done,"" Warner said. ""Such a nice guy and just loves the game so much,"" Warner added.",sports
"35-year-old woman falls into volcanic vent in US, escapes with dislocated shoulder","While skiing with her husband on Oregon's Mount Hood, 35-year-old Caroline Sundbaum fell into a snow-covered fumarole, which is a vent in the side of a volcano that emits steam and gases. A bystander who saw Sundbaum’s fall rushed to help rescue her, using a rope he was carrying to pull her out. She escaped with a dislocated shoulder.",sports
Researchers develop first AI tool to detect COVID-19 probability,A team of researchers from the University of Vermont and Cedars-Sinai has developed the first software to predict the probability of COVID-19 infections. AI-COVID uses details from routine blood tests and can assign the probability of a patient being COVID-19 negative with high accuracy. This can help hospitals reduce the number of patients referred for PCR testing.,science
BJP MP Tejasvi Surya booked for trespassing at Hyd's Osmania University,"Hyderabad Police have registered a case against BJP MP Tejasvi Surya on charges of criminal trespass at Osmania University. Surya and Bharatiya Janata Yuva Morcha (BJYM) workers, who were scheduled to pay tribute to Telangana movement martyrs, allegedly broke through police barriers at the entrance. According to the university's complaint, there was no prior permission taken for the event.",politics
"Jaguar Land Rover seeks US ban on Audi, other SUVs for patent infringement","Jaguar Land Rover (JLR) has urged the US to impose an import ban on SUVs made by Volkswagen-owned brands such as Audi, Porsche and Lamborghini over allegations they infringe its Terrain Response patent. Porsche Cayenne, Volkswagen Tiguan and Audi Q8, Q7 and Q5 are some of the cars that JLR has requested to ban. ",automobile
US sees biggest drop in greenhouse gases emissions post WWll era: Report,"The US' greenhouse gas emissions fell 10.3% in 2020, the largest drop in emissions in post-World War II era, due to COVID-19, the Rhodium Group reported. By comparison, the 2009 economic recession caused emissions to drop by 6.3%. Under the 2009 Copenhagen Accord, the US pledged that by 2020, it will have cut its emissions by 17% from 2005 levels.",science
7 Tesla EVs imported to Nepal in 2020,"Around seven Tesla electric vehicles (EVs) were imported to Kathmandu, Nepal, in 2020, despite the fact that Tesla has not officially launched in the country yet. The vehicles were imported from South China EXIM by automobile dealers Shreema Distributors and ARETE International. Five Tesla cars have been sold so far, an official from ARETE International said.",automobile
"If you're not there to watch game, don't come: Laxman on racial abuse","On India pacer Mohammed Siraj being racially abused in the ongoing Sydney Test, former India batsman VVS Laxman said that it's ""very unfortunate to see what's happening at SCG"". ""There is no place for this rubbish...If you're not here to watch the game and can't be respectful, then please don't come and spoil the atmosphere,"" he tweeted. ",sports
"Watershed moment: Health Min on emergency use approval to Covishield, Covaxin","Health Minister Harsh Vardhan has called the DCGI's emergency use approval to Covishield and Covaxin vaccines ""a watershed moment in India's famed battle against COVID-19"". He tweeted, ""These vaccines are a fitting tribute to our corona warriors!"" He added, ""Urge all citizens to entrust the stringent protocols followed for ensuring safety, efficacy and immunogenicity of the approved vaccines.""",politics
Possible process to convert CO2 into jet fuel developed: Oxford team,"Oxford University researchers have developed an experimental process that might turn CO2 into jet fuel. If successful, the process could result in ""net zero"" emissions from aeroplanes. The experiment was conducted in a laboratory and still needs to be replicated at a larger scale. Researchers had heated a citric acid, hydrogen and an iron-manganese-potassium catalyst mixture during the experiment.",science
"Ashwin mocks Paine over 'Gabba' sledge, tweets 'Good evening from Gabba' after win","Following Team India's victory at the Gabba, off-spinner Ravichandran Ashwin mocked Australia captain Tim Paine over the 'Can't wait to get you to Gabba' sledge. Tagging Paine in a tweet, Ashwin wrote, ""Good evening from Gabba!"" He added, ""I am sorry I couldn’t play here but thanks for hosting us and playing some hard cricket during these tough times.""",sports
"Around 15 BJP workers hospitalised in WB after attack, party blames TMC","Nearly 15 West Bengal BJP workers were injured and admitted to hospital after they were attacked during an event in Contai in Purba Medinipur district on Sunday. BJP's Contai President Anup Chakraborty claimed the attack was made by the ruling TMC party. ""We want to tell the ruling party that such a shameless government should resign now,"" he told ANI.",politics
Hyundai confirms it is in talks with Apple amid EV tie-up reports,"South Korean automobile giant Hyundai Motor on Friday confirmed that it is in early talks with Apple, after a local media outlet said the firms were discussing an electric car and battery tie-up. This confirmation comes weeks after it was reported that Apple was working on launching its own electric vehicle by 2024. Hyundai shares surged 25% after the announcement.",automobile
"Siraj got angry for giving 2 sixes, he showed middle finger to crowd: Indian fan","Prateik Kelkar, an Indian fan who was among six people kicked out by police during Sydney Test, said that India fast bowler Mohammed Siraj was pissed for getting hit for two sixes. ""He came to field on the boundary...Fans said, 'Welcome to Sydney, Siraj',"" Kelkar added. ""Siraj turned around and showed them the middle finger,"" he further said.",sports
AstraZeneca to test combining Oxford vaccine with Sputnik V vaccine,"AstraZeneca, which is developing a coronavirus vaccine with Oxford University, said it would investigate combining its vaccine with Russia's Sputnik V vaccine. ""Being able to combine different vaccines may be helpful to improve protection and/or to improve vaccine accessibility,"" AstraZeneca said. A 'mix and match' trial between AstraZeneca and Pfizer's COVID-19 vaccines was announced earlier.",science
Free to join any party: Rajini Makkal Mandram as some members move to DMK,"Rajini Makkal Mandram (RMM) has announced that its members are free to join any other political party of their choice after tendering a resignation. The statement came after three district secretaries of the party joined Dravida Munnetra Kazhagam (DMK) on Sunday. ""They shouldn't forget they are always Rajinikanth fans even if they join other parties,"" RMM leader VM Sudhakar said.",politics
"No need to play Bumrah in all 4 Tests vs Eng, need to look after him: Gambhir","After India pacer Jasprit Bumrah was ruled out of the Brisbane Test due to an abdominal strain, ex-India opener Gautam Gambhir said there's no need to play Bumrah in all four upcoming Tests against England at home in February-March. He added that it's important to look after him for India's tour of England and the T20 World Cup. ",sports
NCP leader Eknath Khadse tests positive for COVID-19,"NCP leader and former Maharashtra minister Eknath Khadse on Thursday tweeted that he has tested positive for COVID-19. He added, ""I am leaving for Mumbai for further treatment. I am confident of getting better, thanks to all your positive wishes. I will be at your service soon."" Earlier this week, his daughter Rohini had stated that she had contracted coronavirus.",politics
Keeping Smith out from captaincy due to sandpaper incident not understandable: Vaughan,"Former England captain Michael Vaughan has said that keeping Steve Smith out of the Australia captaincy role due to the sandpaper scandal is not understandable. ""Australia are overthinking it...they are looking at what happened a few years ago...everyone has moved on from the ball-tampering incident...If there is an opportunity in ODIs or Tests, then Smith [should captain] Australia,"" he added.",sports
Japan must compensate ex-Nissan Chairman for arbitrary arrest: UN panel,"The UN Working Group on Arbitrary Detention on Monday ruled that Former Nissan Chairman Carlos Ghosn's multiple arrests and detentions in Japan were ""arbitrary"" and urged Japanese government to pay compensation. Japan said the panel doesn't have an ""accurate understanding of the country's criminal justice system"". Ghosn, who was arrested in 2018 in Japan, fled to Lebanon last year. ",automobile
"Modi govt's apathy, arrogance has claimed lives of 60 farmers: Rahul","Congress leader Rahul Gandhi on Tuesday said that Modi government's apathy and arrogance have claimed lives of over 60 farmers. ""Instead of wiping their tears, GOI is busy attacking them with tear gas,"" Rahul said. He added, ""Such brutality, just to promote crony capitalists' business interests. Repeal the anti-farm laws.""",politics
Tesla asked to give ₹1 cr to used car buyer for hiding damage in China,Tesla was ordered by a Chinese court to pay over ₹1 crore to the buyer of a used Model S car after concluding it concealed structural damage on the vehicle it sold on its official website. It was reportedly discovered part of the vehicle had been cut and welded back together. Tesla will appeal the ruling to a higher court.,automobile
"KXIP retain 16 players from IPL 2020 squad, release list","KXIP, who had finished sixth on the points table in IPL 2020, have retained 16 players from their squad ahead of IPL 2021 auction. The players are: KL Rahul, Chris Gayle, Nicholas Pooran, Mohammad Shami, Chris Jordan, Mandeep Singh, Mayank Agarwal, Ravi Bishnoi, Prabhsimran Singh, Deepak Hooda, Sarfaraz Khan, Arshdeep Singh, M Ashwin, Ishan Porel, Harpreet Brar and Darshan Nalkande.",sports
"Steyn gets angry at fan for suggesting normal haircut, calls him 'Mr ugly mustache'","South African fast bowler Dale Steyn got angry at an Indian fan during a Twitter question-answer session after the latter suggested him to get a normal haircut. Responding to the fan, who said long locks don't suit him, Steyn wrote, ""How about I worry about my appearance and you worry about yours Mr ugly mustache.""",sports
Chandrababu Naidu burns Andhra govt orders on farmers in Bhogi bonfire,"TDP President N Chandrababu Naidu on Wednesday burnt Andhra Pradesh government orders in Bhogi bonfire. The orders were related to fixing meters to pump set motors, zero-interest loans scheme and selection of farmers on basis of caste for welfare schemes, the ANI reported. Bhogi is part of the Pongal festival in which useless household articles are put in the bonfire.",politics
MCG in Australia becomes India’s most successful ground outside India,"With the eight-wicket win over Australia in the Boxing Day Test, India registered their fourth win at the Melbourne Cricket Ground (MCG), making it India's most successful hunting ground overseas. Prior to the second Test, India also had three wins each at the SSC in Sri Lanka, the Sabina Park in Jamaica, the Queen's Park Oval in Trinidad and Tobago.",sports
"Tesla beats 2020 delivery estimates, falls short of Musk's target","Tesla on Saturday reported 4,99,550 vehicle deliveries during 2020, bettering Wall Street estimates of 4,81,261 vehicles, according to Refinitiv data. However, annual deliveries fell slightly short of CEO Elon Musk’s target of 5,00,000. Musk had set the target before the COVID-19 pandemic struck, and maintained it even as its only US plant was forced to shut for several weeks.",automobile
New farm laws designed to destroy agriculture sector: Rahul Gandhi,"Congress leader Rahul Gandhi on Tuesday said new farm laws were designed to destroy Indian agriculture sector. He added that there is a tragedy unfolding in the country and India is now ""owned by a limited small group of people who I term as crony capitalists"". ""We're seeing the last bastion which was protected from monopoly being overrun,"" he said.",politics
Apple moves self-driving car unit under exec who oversees Siri: Report,"Apple has moved its self-driving car unit under the leadership of John Giannandrea, Senior Vice President of Machine Learning and AI Strategy, who also oversees the development of Apple's virtual assistant Siri, Bloomberg reported. Apple began working on its autonomous car project, known as Titan, in 2014. CEO Tim Cook in 2017 called autonomous systems ""mother of all AI projects"". ",automobile
Tesla car navigates 576 km in Full Self-Driving with no human help in US,"A Tesla driver made a six-hour-long journey from Los Angeles to San Jose, travelling almost 576 km, in the Full Self-Driving mode with almost no human interventions. The driver claimed that they refrained from steering the car, accelerating or braking, except to make one stop to charge the car. They took control once to avoid large debris on road.",automobile
"Tata Motors tweets 'tere mere pyaar ke charche' amid Tesla tie-up rumours, deletes it","Tata Motors Electric Mobility, a division of Tata Motors, on Friday tweeted, ""Aajkal tere mere pyaar ke charche har akhbaar mein, sabko malum hai aur sabko khabar ho gayi!"", while tagging Elon Musk and Tesla, amid rumours of a joint venture between the two. The account, though unverified, is followed by Tata Motors' official handle. The tweet was deleted later.",automobile
Shaw may be better suited to bat in the middle-order: Hogg,"Former Australia cricketer Brad Hogg has suggested that 21-year-old Prithvi Shaw, who scored zero and four in Adelaide Test as an opener, might be better suited to bat in the middle-order. ""Shaw has made a lot of runs in domestic cricket, so he has talent...his technique will be better suited [in the middle-order],"" Hogg stated. ",sports
"Ashwin mocks Paine over 'Gabba' sledge, tweets 'Good evening from Gabba' after win","Following Team India's victory at the Gabba, off-spinner Ravichandran Ashwin mocked Australia captain Tim Paine over the 'Can't wait to get you to Gabba' sledge. Tagging Paine in a tweet, Ashwin wrote, ""Good evening from Gabba!"" He added, ""I am sorry I couldn’t play here but thanks for hosting us and playing some hard cricket during these tough times.""",sports
He was a full of life person: Kohli condoles demise of Pandya brothers' father,"India captain Virat Kohli took to Twitter to condole the demise of Himanshu Pandya, the father of Hardik Pandya and Krunal Pandya. ""Heartbroken to hear about the demise of Hardik and Krunal's dad. Spoke to him a couple of times, looked a joyful and full of life person. May his soul rest in peace. Stay strong you two,"" Kohli wrote.",sports
Veteran Congress leader Motilal Vora passes away a day after his 93rd birthday,"Veteran Congress leader and former Madhya Pradesh CM Motilal Vora passed away on Monday, a day after celebrating his 93rd birthday. He was admitted to Fortis Escorts Hospital in Delhi due to urine infection, according to reports. The leader was infected with coronavirus but had recovered and got discharged in October.",politics
"Still want to lead Australia, making WTC final still achievable: Paine","Amid criticism following their defeat to India in the four-Test series at home, Australia Test captain Tim Paine has said that he still wants to lead the side. ""We've had a goal to make this World Test Championship final [and] I think that's still achievable,"" he added. Australia have slipped to the number three position in the WTC points table. ",sports
Apple moves self-driving car unit under exec who oversees Siri: Report,"Apple has moved its self-driving car unit under the leadership of John Giannandrea, Senior Vice President of Machine Learning and AI Strategy, who also oversees the development of Apple's virtual assistant Siri, Bloomberg reported. Apple began working on its autonomous car project, known as Titan, in 2014. CEO Tim Cook in 2017 called autonomous systems ""mother of all AI projects"". ",automobile
Armed forces being used to rig J&K DDC polls: Ex-CM Mehbooba Mufti,"Former J&K CM Mehbooba Mufti on Thursday alleged that armed forces were being used to rig the District Development Council (DDC) polls and ""favour a particular party"". Her comments came as polling for the fifth phase was underway. Security forces have cordoned Matribugh in Shopian and ""aren't allowing people to come out to vote"" claiming presence of militants, Mufti said.",politics
Great to see him exhibiting qualities of a leader: Laxman on Pandya,"Reacting to Hardik Pandya giving away his Man of the Series trophy to T Natarajan, who played his first-ever T20I series for India, former India batsman VVS Laxman said, ""Excellent gesture."" He added, ""Great to see him exhibiting qualities of a leader."" He further said, ""Also feel very happy for Natarajan...I've no doubt Nattu will continue to work hard.""",sports
"Messi ignored Ronaldo in his votes for Best Men's Player Award, reveals FIFA","Barcelona forward Lionel Messi didn't vote for Juventus forward Cristiano Ronaldo for any preference for the Best FIFA Men's Player award, FIFA revealed. Messi chose Neymar, Kylian Mbappé and Robert Lewandowski as his first, second and third choice, respectively. Meanwhile, Ronaldo voted for Messi as his second choice. Lewandowski, whom Ronaldo chose as first preference, eventually won the award.",sports
Own a car without buying it : Revv Subscriptions,"You can now drive a new car every month as Revv provides the option to subscribe to your favourite car for 1-36 months with ₹0 down payment, ₹0 road tax and without the hassle of maintenance and service. The car will be sanitized and delivered to your doorstep ensuring complete safety for you and your loved ones.",automobile
Astrophysicist Shashikumar Madhusudan Chitre passes away at 84,"Renowned astrophysicist Professor Shashikumar Madhusudan Chitre passed away on January 11 aged 84. ""He will be remembered for his work in astrophysics and subjects like solar physics, gravitational lensing and science education,"" PM said as he condoled Chitre's passing away. ""His valuable work will continue inspiring students in the times to come,"" the PM added.",science
Which bowler has dismissed Kohli the most number of times in IPL?,"SRH pacer Sandeep Sharma dismissed RCB captain Virat Kohli for 7(7) today. This was the seventh time Sandeep dismissed Kohli in IPL, the most number of times a bowler has dismissed Kohli in the tournament. Sandeep overtook Ashish Nehra, who had dismissed Kohli six times. Dhawal Kulkarni, Mitchell McClenaghan and Mohammad Shami have dismissed Kohli four times each.",sports
Will follow what the BCCI decides: Ashwin on Brisbane Test,"On being asked about playing the Brisbane Test during a virtual press conference, India spinner Ravichandran Ashwin said that the team will follow what BCCI decides. ""I am sure they will definitely work things out in the best interest of their cricket team and the situation that is existent,"" he added. Team India reportedly wants quarantine restrictions eased in Brisbane. ",sports
I'll defeat Mamata in Nandigram by 50k votes or quit politics: BJP's Adhikari,"BJP leader Suvendu Adhikari on Monday said he'll quit politics if he does not defeat West Bengal CM Mamata Banerjee by 50,000 votes from Nandigram in the state assembly elections. His statement came after Mamata Banerjee announced she will be contesting from Nandigram constituency. Adhikari also said that TMC is no longer a political party and has become a company.",politics
Oldest known man-made nanostructures found in Tamil Nadu: Scientists,"Scientists, including those from VIT, discovered the oldest known man-made nano-materials in the ""unique black coatings"" of ancient pottery shards in Tamil Nadu. The coatings are made of carbon nanotubes which allowed the layer to last over 2,600 years, researchers said. They added the oldest known nanostructures in human-made artefacts until now were from the eighth or ninth century AD.",science
Tesla opens its largest Supercharger station in Shanghai,"Tesla has unveiled its largest Supercharger station in Shanghai, China, with 72 charging stalls. The electric vehicle (EV) manufacturer has defeated its own record of single-point EV super-charging station with 56 stalls that it opened in California in 2020. Tesla has also been expanding its network of service centres and is planning to add one centre every week in 2021.",automobile
"Ajay Jadeja trolls Ravindra over ice pack on shoulder, says 'Ice should be in glass'","While interacting with Team India all-rounder Ravindra Jadeja following his match-winning performance against Australia in the third ODI, Ajay Jadeja enquired about the ice pack on his shoulder, saying, ""I am worried."" Ajay jokingly added, ""Ice should be in glass,"" to which Ravindra responded, ""Actually, it's night here. You are right ice should be in glass.""",sports
Delhi govt launches forum to discuss electric vehicle policy,"Delhi government on Friday launched the 'Delhi EV Forum', a common platform for multiple stakeholders to hold discussions on the government's electric vehicle (EV) policy. ""Delhi EV Forum will be the first such forum in India...The first meeting will be held virtually on December 18,"" Delhi DDC Vice Chairperson said. The policy's objective is to combat air pollution in Delhi.",automobile
Jaguar Land Rover sales drop 24% in pandemic-hit 2020 ,"Tata Motors-owned Jaguar Land Rover sales dropped nearly 24% in the calendar year 2020 owing to the ongoing pandemic. However, the company said that it saw a 13.1% quarter-on-quarter increase in sales during the October-December period. JLR's sales in China grew 19.1% year-on-year while it slipped by 16.3% in Europe and 17.2% in North America in the quarter.",automobile
My little boy has asked me to wake him up whenever Kohli comes to bat: Vaughan,"Talking about Team India captain Virat Kohli's impact on children, ex-England captain Michael Vaughan said, ""My little boy...always asks me to wake him up when Kohli comes out to bat. As soon as Kohli gets out, he goes back inside to do something else."" He further said, ""Kohli is that powerful with the kids.""",sports
"Shoes hurled at Vijayvargiya, Mukul Roy's vehicles during BJP roadshow","Shoes were hurled at the vehicles of BJP leaders Kailash Vijayvargiya and Mukul Roy on Monday when they had gone for a roadshow in Kolkata's Watganj area. The roadshow had to be shortened after police denied permission for it. ""Some TMC workers hurled shoes and stones at us. Our workers showed restraint,"" Vijayvargiya claimed.",politics
"TRS wins 55 seats, BJP 48 and AIMIM 44 in GHMC polls","The results for 149 of 150 seats of Greater Hyderabad Municipal Corporation (GHMC) have been declared, with TRS winning 55 seats, BJP recording a victory in 48 seats and AIMIM in 44 seats. Congress managed to win two seats in the polls. At least 76 seats are required by a party or an alliance of parties to secure a majority.",politics
Entertainment will be critical when cars drive themselves: Elon Musk,"Tesla CEO Elon Musk, while discussing in-car gaming in autonomous vehicles, tweeted, ""Entertainment will be critical when cars drive themselves."" Tesla recently released an update that featured three new in-car video games. Musk said an online multiplayer version of one of the games will be added and asked people what Tesla should do with in-car gaming in an autonomous world.",automobile
Mahindra & Mahindra cuts over half of its North America workforce: Reports,"Mahindra & Mahindra has reportedly cut over half of the workforce at its North American unit, which had over 500 employees in early 2020. Affected positions include engineers and manufacturing jobs at its Detroit plant that produces Roxor, as well as sales executives. Mahindra cited COVID-19 and a legal battle with Fiat Chrysler over an earlier Roxor model for layoffs.",automobile
Intact Ice Age-era woolly rhino discovered in Siberia,"Paleontologists have found one of the best-preserved specimens of an Ice Age-era woolly rhino to date in Siberia. The rhino is believed to have lived in the late Pleistocene era, anywhere between 20,000 and 50,000 years ago. It was discovered with all its limbs, some of its organs including part of the intestines, its tusk and a lump of fat.

",science
He has got his form but hunger is alive: Aakash on Agarwal's 61-run knock,"Cricketer-turned-commentator Aakash Chopra has said that Mayank Agarwal's 61-run knock off the 120 balls in the second practice game will make him hungrier to play a big knock in the Test matches. ""He gives me a lot of confidence. Mayank Agarwal is one of the most improved players in the last 12 months for Team India,"" he added. ",sports
"Scientists digitally rebuild dinosaur's brain, learn about its diet","The University of Bristol's scientists have ""rebuilt"" the brain of a Thecodontosaurus, that roamed England some 205 million years ago, using advanced imaging and 3D modelling techniques. They said unlike its plant-eating relatives, Thecodontosaurus may have eaten meat and could have walked on two legs. Experts also reconstructed its inner ears and estimated that it had a high hearing frequency.",science
